sample_id,file,actual,similarity,threshold,predicted,correct
normal/000.png,000.png,Normal,0.992058,0.982113,Normal,True
normal/001.png,001.png,Normal,0.991581,0.982113,Normal,True
normal/002.png,002.png,Normal,0.983201,0.982113,Normal,True
normal/003.png,003.png,Normal,0.990551,0.982113,Normal,True
normal/004.png,004.png,Normal,0.991311,0.982113,Normal,True
normal/005.png,005.png,Normal,0.986896,0.982113,Normal,True
normal/006.png,006.png,Normal,0.95917,0.982113,Anomaly,False
normal/007.png,007.png,Normal,0.983366,0.982113,Normal,True
normal/008.png,008.png,Normal,0.987457,0.982113,Normal,True
normal/009.png,009.png,Normal,0.987604,0.982113,Normal,True
anomaly/broken_small/000.png,000.png,Anomaly,0.979706,0.982113,Anomaly,True
anomaly/broken_small/005.png,005.png,Anomaly,0.956588,0.982113,Anomaly,True
anomaly/broken_small/006.png,006.png,Anomaly,0.967868,0.982113,Anomaly,True
anomaly/broken_small/007.png,007.png,Anomaly,0.984909,0.982113,Normal,False
anomaly/broken_small/008.png,008.png,Anomaly,0.964768,0.982113,Anomaly,True
anomaly/broken_small/012.png,012.png,Anomaly,0.960502,0.982113,Anomaly,True
anomaly/broken_small/015.png,015.png,Anomaly,0.974878,0.982113,Anomaly,True
anomaly/broken_small/016.png,016.png,Anomaly,0.9829,0.982113,Normal,False
anomaly/broken_small/020.png,020.png,Anomaly,0.976483,0.982113,Anomaly,True
anomaly/broken_small/021.png,021.png,Anomaly,0.978182,0.982113,Anomaly,True
